,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year,Google_Rate,Google_Habs,Google_Location,Google_Service,Trip_Rate,Trip_Location,Trip_Cleanliness,Trip_Service,Trip_Value
31,22,Sani Asterias,Kassandra ,Greece,Europe,LBRI SCA,97.87,21,57,Small,Beachfront,2003,21,0.0,0.0,2022,4.6,4.5,3.3,5.0,5.0,4.9,4.9,4.9,4.5
32,23,Shangri-La the Shard,London,England,Europe,Kerry Properties,97.86,23,202,Medium,Contemporary ,2014,21,1.0,19.0,2022,4.5,4.3,4.5,4.0,5.0,4.8,4.9,4.6,4.3
33,120,Shangri-La the Shard,London,England,Europe,Kerry Properties,98.57,19,202,Medium,Contemporary ,2014,21,0.0,0.0,2021,4.5,4.3,4.5,4.0,5.0,4.8,4.9,4.6,4.3
34,24,Coquillade Provence Resort & Spa,Gargas,France,Europe,Coquillade ,97.82,24,63,Small,Countryside,2008,21,0.0,0.0,2022,4.6,0.0,0.0,0.0,4.5,4.8,4.8,4.7,4.3
35,25,Taj Palace,New Delhi,India,Southeast Asia,India Hotels Company Limited,97.6,25,403,Big,Palace,1903,20,1.0,57.0,2022,4.7,3.7,4.4,4.2,4.5,4.5,4.7,4.6,4.3
36,159,Taj Palace,New Delhi,India,Southeast Asia,India Hotels Company Limited,97.56,57,403,Big,Palace,1903,20,0.0,0.0,2021,4.7,3.7,4.4,4.2,4.5,4.5,4.7,4.6,4.3
37,26,Pendry Chicago,Chicago,United States,North America,Montage Hotels & Resorts,97.6,25,364,Big,Contemporary ,1927,20,0.0,0.0,2022,4.6,0.0,0.0,0.0,4.5,4.9,4.9,4.8,4.6
38,27,Nayara Tented Camp,La Fortuna,Costa Rica,Latin America,Nayara Resorts,97.55,27,29,Small,Nature,2019,21,1.0,2.0,2022,4.9,4.7,4.9,4.8,5.0,4.9,4.9,4.9,4.8
39,28,Hotel Belmar,Monteverde,Costa Rica,Latin America,Pedro Belmar,97.5,28,26,Small,Nature,1985,20,0.0,0.0,2022,4.5,3.8,4.3,4.5,4.5,4.6,4.7,4.7,4.4
40,29,Royal Champagne Hôtel & Spa,Champillon,France,Europe,Champagne Hospitality,97.5,28,47,Small,Countryside,2018,21,0.0,0.0,2022,4.5,4.8,4.8,4.4,4.5,4.9,4.9,4.6,4.4
41,30,Under Canvas Mount Rushmore,Keystone,United States,North America,KSL Capital Partners,97.47,30,74,Small,Nature,2009,21,0.0,0.0,2022,4.7,4.2,4.2,4.8,4.5,4.8,4.7,4.7,4.2
42,31,Riggs Washington D.C.,Washington,United States,North America,Global Holdings Management Group,97.45,31,181,Medium,Palace,1891,19,0.0,0.0,2022,4.6,0.0,0.0,0.0,5.0,4.9,4.9,4.8,4.6
