,Index,Hotel,Location,Country,Region,Company,Score,Rank,Rooms,Hotel_type,Theme,Year,Century,2021_Rank,Past_rank,Rank_Year
64,65,The Goring,London,England,Europe,The Goring Family,96.55,65,69,Small,Palace,1910,20,1.0,56.0,2022
65,66,The Oberoi Rajvilas,Jaipur,India,Southeast Asia,The Oberoi Group,96.52,66,54,Small,Palace,1997,20,1.0,51.0,2022
66,67,Palm Island Resort,Palm Island,Saint Vincent and the Grenadines,Caribbean,James Lane and Rob Barrett,96.5,67,43,Small,Island,1968,20,0.0,0.0,2022
67,68,Hotel Savoy,Florence,Italy,Europe,Rocco Forte Hotels,96.47,68,80,Small,Contemporary ,1893,19,0.0,0.0,2022
68,69,Rambagh Palace,Jaipur,India,Southeast Asia,India Hotels Company Limited,96.44,69,78,Small,Palace,1835,19,1.0,88.0,2022
69,70,Curtain Bluff,Saint John's,Antigua,Caribbean,Hulford family,96.44,69,72,Small,Beachfront,1962,20,0.0,0.0,2022
70,71,"Morrison House Old Town Alexandria, Autograph Collection",Alexandria,United States,North America,Marriott International,96.42,71,45,Small,Contemporary ,1864,19,0.0,0.0,2022
71,72,"The Lytle Park Hotel, Autograph Collection",Cincinnati,United States,North America,Marriott International,96.42,71,106,Small,Contemporary ,2019,21,0.0,0.0,2022
72,73,Twin Farms,Barnard,United States,North America,Thurston Twigg-Smith,96.42,73,20,Small,Lodge,1993,20,0.0,0.0,2022
73,74,Deer Path Inn,Lake Forest,United States,North America,Lake Forest Investments,96.4,74,55,Small,Manor,1929,20,0.0,0.0,2022
74,75,One&Only Nyungwe House,Nyamasheke Nyungwe Forest Reserve,Rwanda,Africa,Kerzner International,96.36,75,22,Small,Nature,2010,21,0.0,0.0,2022
75,76,W Santiago,Las Condes,Chile,Latin America,Marriott International,96.36,75,196,Medium,Contemporary ,2009,21,0.0,0.0,2022
76,77,Shangri-La Singapore,Singapore,Singapore,Southeast Asia,Kerry Properties,96.33,77,792,Mega,Contemporary ,1971,20,0.0,0.0,2022
77,78,L'Ermitage Beverly Hills,Beverly Hills,United States,North America,EOS Investors,96.28,78,116,Small,Contemporary ,1975,20,0.0,0.0,2022
78,79,Silo Hotel,Cape Town,South Africa,Africa,The Royal Portfolio,96.27,79,28,Small,Contemporary ,2017,21,0.0,0.0,2022
79,80,Katikies Santorini,Santorini,Greece,Europe,Katikies Resorts & Club,96.24,80,34,Small,Coastal,1987,20,0.0,0.0,2022
80,81,Nobu Hotel,Miami Beach,United States,North America,Davidson Hotels & Resorts,96.22,81,206,Medium,Beachfront,1957,20,0.0,0.0,2022
81,82,The Shore Club,Long Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,96.22,82,110,Small,Beachfront,2016,21,0.0,0.0,2022
82,83,Taj Holiday Village Resort & Spa,Goa,India,Southeast Asia,India Hotels Company Limited,96.21,83,142,Small,Beachfront,1978,20,1.0,12.0,2022
83,84,Mandarin Oriental Bangkok,Bangkok,Thailand,Southeast Asia,Jardine Matheson,96.18,84,331,Big,Contemporary ,1876,19,1.0,41.0,2022
84,85,Auberge Saint-Antoine,Quebec City,Canada,North America,Price family,96.18,85,95,Small,Manor,1992,20,0.0,0.0,2022
85,86,Rosewood Miramar Beach,Montecito,United States,North America,Caruso,96.14,86,161,Medium,Beachfront,2018,21,0.0,0.0,2022
86,87,Rio Celeste Hideaway Hotel,Guanacaste,Costa Rica,Latin America,Angelo Zaragovia (brainchild),96.0,87,26,Small,Nature,2010,21,0.0,0.0,2022
87,88,Hotel Caesar Augustus,Anacapri,Italy,Europe,Signorini family,96.0,87,55,Small,Coastal,1940,20,0.0,0.0,2022
88,89,Grand Hotel Villa Serbelloni,Bellagio,Italy,Europe,Bucher family,96.0,87,95,Small,Palace,1873,19,0.0,0.0,2022
89,90,Le Bristol Paris,Paris,France,Europe,Oetker Collection,96.0,87,190,Medium,Palace,1925,20,1.0,80.0,2022
90,91,Shangri-La Bosphorus,Istanbul,Turkey,Middle East,Kerry Properties,95.9,91,186,Medium,Palace,1929,20,0.0,0.0,2022
91,92,The Palms Turks & Caicos,Grace Bay Beach,Turks and Caicos Islands,Caribbean,The Hartling Group,95.86,92,72,Small,Beachfront,2004,21,0.0,0.0,2022
92,93,"The Lodge at Blue Sky, Auberge Resorts Collection",Park City,United States,North America,Phillips family,95.85,93,46,Small,Lodge,2018,21,0.0,0.0,2022
93,94,Little Palm Island Resort & Spa,Little Torch Key,United States,North America,Noble House Hotels and Resorts,95.83,94,30,Small,Island,1989,20,0.0,0.0,2022
94,95,Le Sirenuse,Positano,Italy,Europe,Sersale family,95.81,95,58,Small,Coastal,1951,20,0.0,0.0,2022
