,LAT,LON
0,28.19821,76.829058
1,28.661027,77.336653
2,37.151035,79.937736
3,28.654924,77.184884
4,25.748398,82.683356
5,31.454545,73.090664
6,28.546241,77.375062
7,29.361364,71.689666
8,34.009664,71.563401
9,29.064717,77.286331
10,29.155873,75.718458
11,28.377907,77.347903
12,28.462679,77.513925
13,28.897948,76.5911
14,31.493175,74.352202
